Titlu,nume,judet,oras,adresa,longitudine,latitudine
BC-SPITALUL ORASENESC BUHUSI,"Spitalul ""Prof. dr. Eduard Apetrei"" Buhusi",Judetul Bacau,Oras Buhusi,"Strada Vaioaga 3, 605100 Buhusi",26.7083146,46.7201681
"BC-SPITALUL ORASENESC ""IOAN LASCAR""  COMANESTI","Spitalul Orasenesc ""Ioan Lascar"" Comanesti",Judetul Bacau,Oras Comanesti,"Strada Spitalului, 605200 Comanesti",26.4485369,46.41896
BC-TACO HOSPITAL SRL,TACO HOSPITAL SRL,Judetul Bacau,Municipiu Bacau,"Trecatoarea Tecuciului, Bacau",26.9316004,46.5705425
BH-Centrul Medical Unirea pct de lucru Oradea,Reteaua de Sanatate REGINA MARIA - Policlinica Endodigest,Judetul Bihor,Municipiu Oradea,"Strada Olimpiadei 5, 410151 Oradea",21.9290869,47.0710865
BH-CENTRUL VASCULAR VENUS SRL,Centrul Vascular Venus S.R.L.,Judetul Bihor,Municipiu Oradea,"Calea Clujului 68, 410053 Oradea",21.9499125,47.0507584
BH-CLINICA LAVINIA DAVIDESCU SRL,Clinica Lavinia Davidescu Oradea,Judetul Bihor,Municipiu Oradea,"Strada Gheorghe Doja 1A, 410163 Oradea",21.9406855,47.0591458
BH-PRESIDENT PREMIUM MEDCENTER S.A.,President Premium Medcenter,Judetul Bihor,Comuna Sanmartin,"Cordau 330, 417500 Baile Felix",21.9806386,46.9802395
BH-SC MEDEUROPA SRL -PCT LUCRU ORADEA,MedEuropa - Centru de Radioterapie si Oncologie Medicala,Judetul Bihor,Municipiu Oradea,"Strada Constantin Brancoveanu 59, 410191 Oradea",21.9141062,47.064026
BH-SP. CLINIC DE RECUPERARE MEDICALA BAILE FELIX,Spitalul Clinic de Recuperare Medicala Baile Felix,Judetul Bihor,Comuna Sanmartin,417500 Baile Felix,21.9830918,46.9907719
BH-SPITALUL CLINIC JUDETEAN DE URGENTA ORADEA,Spitalul Clinic Judetean de Urgenta Oradea,Judetul Bihor,Municipiu Oradea,"Strada Gheorghe Doja 65, 410169 Oradea",21.9540723,47.0642555
BH-SPITALUL GENERAL CF ORADEA,Spitalul Clinic CFR Oradea,Judetul Bihor,Municipiu Oradea,"Strada Republicii 56, Oradea",21.935813,47.0671266
BH-SPITALUL MUN.DR. POP MIRCEA,Spitalul Municipal Dr. Pop Mircea,Judetul Bihor,Municipiu Marghita,"Strada Eroilor 14, 415300 Marghita",22.3377552,47.3485246
"BH-SPITALUL MUNICIPAL ""EP.N.POPOVICI"" BEIUS",SPITALUL MUNICIPAL EP. NICOLAE POPOVICI,Judetul Bihor,Municipiu Beius,"Strada Romana 7, 415200 Beius",22.3502415,46.6695513
BH-SPITALUL MUNICIPAL SALONTA,Spitalul Municipal Salonta,Judetul Bihor,Municipiu Salonta,Salonta,21.6690054,46.8050178
BH-SPITALUL ORASENESC ALESD,Spitalul Orasenesc Alesd,Judetul Bihor,Oras Alesd,"Strada 1 Decembrie NR 3, 415100 Alesd",22.3938906,47.0600767
BH-SPITALUL ORASENESC STEI,Spitalul Orasenesc Stei,Judetul Bihor,Oras Stei,"Strada Cuza Voda 5, 415600 Stei",22.458517,46.5352324
BN-CLINICA SANOVIL,Clinica Sanovil,Judetul Bistrita-Nasaud,Municipiu Bistrita,"Cartier Viisoara, DN17 263, 420006 Bistrita",24.4628495,47.1145408
BN-HARD MED SOLUTIONS SRL,HARDMED - Spital-Policlinica-Centre Medicale,Judetul Bistrita-Nasaud,Municipiu Bistrita,"Strada Drumul Dumitrei Vechi 1A, 420127 Bistrita",24.5001556,47.1442501
BN-SPITAL JUDETEAN,Spitalul Judetean de Urgenta Bistrita,Judetul Bistrita-Nasaud,Municipiu Bistrita,"Bld, General Grigore Balan 43, 420016 Bistrita",24.5066563,47.1404779
BN-SPITAL ORASENESC BECLEAN,Spitalul Orasenesc Beclean,Judetul Bistrita-Nasaud,Oras Beclean,"DN17 65, 425100 Beclean",24.1857658,47.1830664
BN-SPITAL ORASENESC NASAUD,"Spitalul Orasenesc ""Dr. George Trifon"" Nasaud",Judetul Bistrita-Nasaud,Oras Nasaud,"Strada Tudor Vladimirescu 1, 425200 Nasaud",24.4093889,47.2836382
BR-SPITALUL DE PNEUMOFTIZIOLOGIE,Spitalul de Pneumoftiziologie,Judetul Braila,Municipiu Braila,"Strada Radu S. Campiniu 21, 810003 Braila",27.970121,45.2695131
BR-SPITALUL DE PSIHIATRIE,"Spitalul de Psihiatrie ""Sfantul Pantelimon"" Braila",Judetul Braila,Municipiu Braila,"Calea Calarasilor 59, 810209 Braila",27.9618365,45.2624258
BR-SPITALUL JUDETEAN DE URGENTA BRAILA,Spitalul Clinic Judetean de Urgenta Braila,Judetul Braila,Municipiu Braila,"Sos. Buzaului 2, Braila",27.9409124,45.2527766
BR-SPITALUL ORASENESC FAUREI,Spitalul Orasenesc,Judetul Braila,Oras Faurei,"Strada Pacii 6, 815100 Faurei",27.2742866,45.0850324
BT-SPITALUL DE PNEUMOFTIZIOLOGIE,"Spitalul de Pneumoftiziologie ""Sf. Stefan""",Bucuresti,Municipiul Bucuresti,"Soseaua Stefan cel Mare 11, 020122 Bucuresti",26.1054184,44.4536286
BT-SPITALUL DE RECUPERARE SF. GHEORGHE,"Spitalul de Recuperare ""Sfantul Gheorghe""",Judetul Botosani,Municipiu Botosani,"Calea Nationala 2, 710010 Botosani",26.6363938,47.7531346
"BT-SPITALUL JUDETEAN ""MAVROMATI""","Spitalul Judetean de Urgenta ""Mavromati""",Judetul Botosani,Municipiu Botosani,"Strada Arhimandrit Marchian Nr. 11, 710221 Botosani",26.6613642,47.7408816
BT-SPITALUL MUNICIPAL DOROHOI,"Spitalul Municipal ""Academician Leon Danaila"" Dorohoi",Judetul Botosani,Municipiu Dorohoi,"Bulevardul Victoriei 75, 715200 Dorohoi",26.4034027,47.9457795
BV-MEDEUROPA SRL-PUNCT DE LUCRU,MedEuropa Brasov - Centru de Radioterapie,Judetul Brasov,Municipiu Brasov,"Strada Turnului 8, 500152 Brasov",25.6175518,45.6636657
